lesion_id,volume_mm3,contrast,sharpness
1.0,3.0,nan,11.279632568359375
2.0,12.0,2.4166666073097347,10.522958755493164
3.0,33.0,1.538461486141208,8.109697341918945
4.0,77.0,3.1481480450505415,10.04849624633789
5.0,102.0,5.428571257142265,15.36274528503418
6.0,119.0,4.076922938274202,11.596136093139648
7.0,59.0,3.6363634902126334,8.580835342407227
8.0,340.0,5.9999998231572835,18.724933624267578
9.0,43.0,4.181818013744527,9.016239166259766
10.0,107.0,3.8749998929272618,13.807518005371094
11.0,132.0,3.3571427511274536,10.671257019042969
12.0,168.0,8.111110712669197,14.29653549194336
13.0,383.0,5.333333176139808,17.32789421081543
14.0,28.0,3.8888886978550925,6.64746618270874
15.0,530.0,3.4999999140347895,13.436141014099121
16.0,27.0,4.199999876210098,10.984683990478516
17.0,34.0,6.799999398734799,6.50341796875
18.0,7.0,nan,13.511563301086426
