lesion_id,volume_mm3,contrast,sharpness
1.0,105.0,3.299999838998934,6.4267191886901855
2.0,147.0,3.1818180406952816,7.753995895385742
3.0,31.0,2.9999998373726604,5.111175060272217
4.0,44.0,4.549999778013681,7.345504283905029
5.0,82.0,3.6999998194836534,7.015358924865723
6.0,36.0,2.8846152763575392,8.592155456542969
7.0,325.0,4.19999979508955,8.804372787475586
8.0,57.0,2.999999866941266,6.785806179046631
9.0,81.0,5.6999997219072505,10.451347351074219
10.0,24.0,2.7083332232210693,6.346469879150391
11.0,1949.0,3.9285712916657567,11.269963264465332
12.0,86.0,3.5714284054823056,7.214462757110596
13.0,45.0,3.87499976368215,5.8293843269348145
14.0,92.0,4.399999785331911,8.240158081054688
15.0,225.0,4.53846136813586,10.942864418029785
16.0,2.0,nan,10.02244758605957
17.0,528.0,4.333333157153715,9.470012664794922
18.0,60.0,4.79999976581663,8.441253662109375
19.0,312.0,6.333332990008952,10.90460205078125
20.0,39.0,4.53846136813586,10.57395076751709
21.0,317.0,4.357142705302022,11.93539810180664
22.0,111.0,4.235293996098594,13.320201873779297
23.0,161.0,3.2631577271540992,6.101968765258789
24.0,270.0,3.0769229614480413,8.885677337646484
25.0,119.0,4.777777518778683,8.928323745727539
26.0,2.0,nan,5.121365547180176
27.0,1.0,nan,4.784429550170898
28.0,70.0,2.999999887411839,8.511266708374023
29.0,87.0,3.263157810945468,12.744962692260742
30.0,2.0,nan,3.2344980239868164
31.0,43.0,3.999999756058993,5.464877128601074
32.0,140.0,4.3749998221263455,10.755308151245117
33.0,871.0,3.4615383316290464,9.085860252380371
34.0,1014.0,4.964285541286731,13.802949905395508
35.0,524.0,3.249999867865286,8.486091613769531
36.0,27.0,3.2499999008989624,9.34803295135498
37.0,3.0,nan,5.561483860015869
38.0,871.0,4.27272708321938,9.665285110473633
39.0,45.0,3.3636362144492993,6.378787994384766
40.0,36.0,2.9333331425172577,4.827131271362305
41.0,19.0,4.095237904953044,7.43612003326416
42.0,68.0,3.2222220475484136,6.051218032836914
43.0,15.0,2.857142658007343,5.218092441558838
44.0,70.0,2.8124998284789786,4.693009376525879
45.0,49.0,4.5714282528117485,6.312474250793457
46.0,47.0,5.124999687450585,6.687870979309082
47.0,6.0,nan,12.533281326293945
48.0,272.0,5.363636125743478,11.90779972076416
49.0,187.0,2.8124999142394875,8.71665096282959
50.0,28.0,2.5555554170211554,4.680125713348389
51.0,24.0,5.199999661735139,5.879955291748047
52.0,50.0,3.4444442577241667,5.494004249572754
53.0,14.0,3.649999821923063,5.552421569824219
54.0,2.0,nan,3.3788399696350098
55.0,184.0,2.9230768133756393,8.196722030639648
56.0,97.0,3.4545453013263074,9.126667022705078
57.0,152.0,3.499999857701076,9.532870292663574
