lesion_id,volume_mm3,contrast,sharpness
1.0,46.0,2.9166665501256284,6.6276702880859375
2.0,31.0,2.937499911969894,8.343738555908203
3.0,360.0,5.699999817796409,15.507061958312988
4.0,87.0,3.170212701273891,14.164722442626953
5.0,37.0,4.333332987039978,3.7725443840026855
6.0,149.0,3.4137929905616407,10.049272537231445
7.0,32.0,4.3846152228962225,9.974288940429688
8.0,25.0,9.777776735937966,6.76172399520874
9.0,353.0,11.363635868302554,23.48258399963379
10.0,255.0,6.7777774166855504,10.879171371459961
11.0,70.0,3.0499998537576474,6.568788528442383
12.0,299.0,4.999999873820228,19.269899368286133
13.0,117.0,5.666666515718273,15.964917182922363
14.0,177.0,3.4545453039639757,7.683506488800049
15.0,54.0,3.9999998871804396,13.297961235046387
16.0,312.0,6.090908825410168,14.901152610778809
17.0,44.0,5.299999491747912,2.957677125930786
18.0,410.0,8.961538131007192,22.558269500732422
19.0,38.0,4.187499749020555,5.869794845581055
20.0,100.0,6.636363347088691,13.07220458984375
21.0,1.0,nan,6.493729114532471
22.0,71.0,4.499999845880421,11.381927490234375
23.0,37.0,5.285713923655608,6.33701229095459
24.0,86.0,5.499999760258437,10.228494644165039
25.0,18.0,5.299999491747912,3.8162589073181152
26.0,97.0,3.2105262347687766,12.138446807861328
